Wall time,Step,Value
1701766735.574675,6,0.3658536672592163
1701775673.1866775,8,0.34090909361839294
1701777021.1339722,9,0.3896103799343109
1701777989.886758,10,0.2689075767993927
1701778936.922796,11,0.3488371968269348
1701779901.3246474,12,0.4000000059604645
1701780870.1146173,13,0.3076923191547394
1701781815.9808478,14,0.2956521809101105
1701782777.3476412,15,0.3488371968269348
1701783765.0583491,16,0.32608696818351746
1701784728.4677413,17,0.35789474844932556
1701785696.8512022,18,0.36781609058380127
1701786647.919329,19,0.31111112236976624
1701787607.8734488,20,0.3076923191547394
1701788567.967639,21,0.31683167815208435
1701789583.5556824,22,0.3777777850627899
1701790554.4401462,23,0.3368421196937561
1701791487.0792606,24,0.3404255211353302
1701792459.2744143,25,0.35555556416511536
1701793421.580889,26,0.3469387888908386
1701794381.0041509,27,0.29357796907424927
1701795372.8055036,28,0.2982456088066101
1701796425.2342012,29,0.27586206793785095
1701797373.9066753,30,0.29357796907424927
1701798297.606077,31,0.2711864411830902
1701799224.294569,32,0.2735042870044708
1701800164.7536469,33,0.25196850299835205
1701801116.8218744,34,0.24060150980949402
