Wall time,Step,Value
1701887833.7508056,1,0.095238097012043
1701888917.0827558,2,0.41025641560554504
1701890048.453941,3,0.5272727012634277
1701891146.4004958,4,0.5
1701892319.6078973,5,0.5299145579338074
1701893503.3973522,6,0.5714285969734192
1701894669.4138849,7,0.5961538553237915
1701895876.8331509,8,0.6236559152603149
1701897051.1444771,9,0.6741573214530945
1701898234.5749047,10,0.6285714507102966
1701899381.650989,11,0.6739130616188049
1701900543.5169933,12,0.6590909361839294
1701901719.194746,13,0.6213592290878296
1701902862.5414014,14,0.5840708017349243
1701904009.1819181,15,0.6451612710952759
1701905204.4567688,16,0.738095223903656
1701906362.9691594,17,0.7126436829566956
1701907513.9684553,18,0.7126436829566956
1701908692.805824,19,0.6736842393875122
1701909861.2153084,20,0.5871559381484985
1701911013.7921388,21,0.6823529601097107
1701912180.3701992,22,0.6200000047683716
1701913355.5712912,23,0.7032967209815979
1701914530.813307,24,0.7045454382896423
1701915674.8013258,25,0.6976743936538696
1701916837.8336895,26,0.6976743936538696
1701917989.88313,27,0.6458333134651184
1701919133.13244,28,0.6105263233184814
1701920276.0623298,29,0.6451612710952759
1701921399.8486698,30,0.644444465637207
1701922515.2296476,31,0.6019417643547058
1701923665.240073,32,0.6200000047683716
1701924820.7797563,33,0.6526315808296204
1701925922.1829243,34,0.6262626051902771
1701927015.301063,35,0.594059407711029
1701928091.4968762,36,0.6382978558540344
1701929206.038992,37,0.6363636255264282
1701930297.4875312,38,0.6041666865348816
1701931391.7395573,39,0.6122449040412903
1701932491.286277,40,0.5871559381484985
1701933589.7298968,41,0.5423728823661804
1701934685.7535672,42,0.5769230723381042
1701935760.6522639,43,0.6060606241226196
1701936842.8727243,44,0.5979381203651428
1701937910.0656235,45,0.6590909361839294
1701939016.592254,46,0.5799999833106995
1701940193.6655517,47,0.5918367505073547
1701941356.976297,48,0.594059407711029
1701942503.173645,49,0.5979381203651428
1701943671.8547995,50,0.5660377144813538
1701944843.8916025,51,0.6391752362251282
1701946021.7207074,52,0.5799999833106995
1701947177.8331358,53,0.5894736647605896
1701948344.134102,54,0.5957446694374084
1701949484.6629853,55,0.594059407711029
1701950630.5937304,56,0.5918367505073547
1701951764.357826,57,0.5631067752838135
1701952881.5429814,58,0.5486725568771362
1701954015.439932,59,0.5833333134651184
1701955136.671541,60,0.5471698045730591
1701956243.7672071,61,0.5849056839942932
1701957354.6349227,62,0.539130449295044
1701958476.078,63,0.5471698045730591
1701959603.933871,64,0.5384615659713745
1701960713.0899673,65,0.5370370149612427
1701961812.1782677,66,0.5714285969734192
1701962911.8159938,67,0.5714285969734192
1701964028.2053661,68,0.5799999833106995
1701965117.7588172,69,0.5510203838348389
1701966226.6754763,70,0.5833333134651184
1701967332.6505632,71,0.6086956262588501
1701968428.1239533,72,0.5283018946647644
1701969527.6550982,73,0.5384615659713745
1701970629.9125004,74,0.557692289352417
1701971756.0432632,75,0.5742574334144592
1701972835.3603048,76,0.5773195624351501
1701973913.017359,77,0.5523809790611267
1701975006.573921,78,0.5436893105506897
1701976113.781505,79,0.5858585834503174
1701977204.323196,80,0.5523809790611267
1701978303.6657348,81,0.5370370149612427
1701979401.5306666,82,0.5600000023841858
1701980516.0216072,83,0.5684210658073425
1701981610.983601,84,0.5510203838348389
1701982720.876565,85,0.5742574334144592
1701983826.2703965,86,0.5744680762290955
1701984929.6540296,87,0.5333333611488342
1701986039.6415331,88,0.5686274766921997
1701987141.646164,89,0.5090909004211426
1701988231.9857998,90,0.5471698045730591
